Date,sigma_real,sigma_pred,Lambda,Cq,Delta,gamma_t
2000-01-03,0.11648082,0.048059809997787285,0.0996224279882733,0.2899202279014679,0.015424635651418175,0.866008562522539
2000-01-04,0.17157734,0.06124138345858362,0.11856447885725593,0.34549947413312365,0.006130364546725012,0.8435561825184007
2000-01-05,0.17052648,0.250755622959194,0.3547465967058805,0.6728346398834972,-0.031712647638703156,0.25747583114800016
2000-01-06,0.16720248,0.32790338270575714,0.4561829619609694,0.6809352558895407,0.05149509086082518,0.33374065152907534
2000-01-07,0.19071448,0.23279921271527662,0.37810840792207884,0.5542734165886966,0.11234755624942783,0.34034039484103745
2000-01-10,0.1937039,0.169406178496716,0.3475889534758347,0.3800853959540916,0.12003141042239623,0.23018792536290925
2000-01-11,0.19943822,0.15834159771259898,0.3244263457526131,0.3872456266577048,0.14399002848995013,0.3767654085859577
2000-01-12,0.20012182,0.2304776309856173,0.41925915537898817,0.44850314000518177,0.1787887905920048,0.2987845838214708
2000-01-13,0.20104454,0.213891820488852,0.3969249374898045,0.440327394421402,0.14298102649771635,0.3123718037909097
2000-01-14,0.20259015,0.18540827535111373,0.36571247223678177,0.4033597744192554,0.05328194889799459,0.2958237583504039
2000-01-18,0.2045534,0.16004588040162868,0.3384634004086493,0.36147027544413246,-0.07113374315615364,0.2693204899305362
2000-01-19,0.20456166,0.1255733168380887,0.29153313339099596,0.3128038265850715,-0.11715272449823536,0.2673259180459687
2000-01-20,0.20630531,0.12667515504139756,0.2832861409715498,0.33776050907571,-0.12095530554503901,0.3244889808371949
2000-01-21,0.20350233,0.1320325378670082,0.28055389005308623,0.3703118223845512,-0.1169674362675205,0.31198696866984665
2000-01-24,0.22566421,0.09429460369623476,0.22801626197243732,0.2970621029424116,-0.09774423027361498,0.3933629334031885
2000-01-25,0.2193019,0.17353890772172165,0.3162788822211371,0.4715904245375927,0.05963861455949454,0.26895155227556844
2000-01-26,0.21946679,0.23893263171610424,0.39192830347239394,0.5434430060092483,0.19907015818555387,0.2665161427737035
2000-01-27,0.21944519,0.23725566317622587,0.3972189516917194,0.5249652869912045,0.07467355133862183,0.3008995004883492
2000-01-28,0.23566226,0.22206763221094236,0.3812333746523847,0.5078573094076729,0.15944214750466035,0.3094049548634803
2000-01-31,0.25518842,0.16735159089789145,0.3216795475346498,0.4326894748420598,0.19666914807693744,0.2502362312703444
2000-02-01,0.25844404,0.12548124869821864,0.2591758987287244,0.38894259818433013,0.13288928713417963,0.21915074451684316
2000-02-02,0.25700912,0.09918276799486749,0.22388014197902883,0.33451367899345874,0.021899450224741296,0.26379955983281206
2000-02-03,0.220892,0.1720989326204291,0.3055357983850605,0.4909861951614899,0.001629107396185464,0.45569153233766446
