Date,Close,Return,RealizedVol,VIX,HY_OAS,GPR,CESI,PMI_change,PutCall,HHI,MeanCorr,f_bur,f_cat,f_sent,f_mac,f_liq,C_norm
1990-01-31,329.0799866,0.01871041,0.16766325,25.36000061,,128.3204193,,,,,,,,,,,
1990-02-01,328.7900085,-0.00088157,0.16797852,24.87000084,,77.20746613,,,,,,,,,,,
1990-02-02,330.9200134,0.00645742,0.17100848,24.31999969,,104.9047012,,,,,,,,,,,
1990-02-05,331.8500061,0.00280638,0.17066945,24.54000092,,115.4204788,,,,,,,,,,,
1990-02-06,329.6600037,-0.00662125,0.16898512,24.69000053,,149.439148,,,,,,,,,,,
1990-02-07,333.75,0.01233038,0.17435497,24.29000092,,93.49989319,,,,,,,,,,,
1990-02-08,332.9599915,-0.00236987,0.17361816,23.77000046,,76.86621094,,,,,,,,,,,
1990-02-09,333.6199951,0.00198027,0.17308687,23.69000053,,69.69510651,,,,,,,,,,,
1990-02-12,330.0799866,-0.0106676,0.15542129,24.37999916,,110.7705765,,,,,,,,,,,
1990-02-13,331.019989,0.00284375,0.15375266,23.76000023,,82.29981995,,,,,,,,,,,
1990-02-14,332.0100098,0.00298636,0.14831216,22.04999924,,63.87871933,,,,,,,,,,,
1990-02-15,334.8900146,0.00863704,0.14858723,19.70999908,,69.23958588,,,,,,,,,,,
1990-02-16,332.7200012,-0.00650086,0.14971857,20.78000069,,48.95420456,,,,,,,,,,,
1990-02-20,327.9899902,-0.01431821,0.15615817,22.78000069,,59.15299606,,,,,,,,,,,
1990-02-21,327.6700134,-0.00097604,0.12798415,23.88999939,,62.67019653,,,,,,,,,,,
1990-02-22,325.7000122,-0.0060303,0.12849443,22.54000092,,57.79834366,,,,,,,,,,,
1990-02-23,324.1499939,-0.0047704,0.12873493,23.69000053,,41.51087189,,,,,,,,,,,
1990-02-26,328.6700134,0.0138479,0.13082927,23.55999947,,65.2722702,,,,,,,,,,,
1990-02-27,330.2600098,0.004826,0.13163241,22.69000053,,127.2182541,,,,,,,,,,,
1990-02-28,331.8900146,0.00492338,0.13210536,21.98999977,,80.14276123,,,,,,,,,,,
1990-03-01,332.7399902,0.00255774,0.12907381,21.89999962,,57.67255783,,,,,,,,,,,
1990-03-02,335.5400085,0.00837982,0.11592613,21.34000015,,84.64168549,,,,,,,,,,,
1990-03-05,333.7399902,-0.00537898,0.11784065,22.03000069,,74.2015152,,,,,,,,,,,
1990-03-06,337.9299927,0.01247653,0.12325874,20.54999924,,67.9733429,,,,,,,,,,,
1990-03-07,336.9500122,-0.00290416,0.12378947,19.10000038,,77.88887024,,,,,,,,,,,
1990-03-08,340.269989,0.0098048,0.12458014,19.73999977,,67.02746582,,,,,,,,,,,
1990-03-09,337.9299927,-0.00690064,0.12129986,20.29999924,,59.95597839,,,,,,,,,,,
1990-03-12,338.6700134,0.00218747,0.12092416,20.06999969,,50.34297562,,,,,,,,,,,
1990-03-13,336,-0.00791506,0.12452217,21.04999924,,72.11685944,,,,,,,,,,,
