Date,sigma_real,sigma_pred,Lambda,Cq,Delta,gamma_t
2000-01-03,0.11648082,0.005467676273672567,0.0,0.0,0.0,1.3659032285234416
2000-01-04,0.17157734,0.011675146187968888,0.011574024646307617,0.09796713910781574,0.0023457401287948964,1.3659032285234416
2000-01-05,0.17052648,0.012163099705731052,0.015165356429878443,0.097626411812363,-0.006287745684268444,1.3659032285234416
2000-01-06,0.16720248,0.09034296661757939,0.17553335371293796,0.3986138768331777,0.0466197175681409,1.3659032285234416
2000-01-07,0.19071448,0.1620098191159215,0.2987013441454525,0.4644271668038096,0.18643485677023192,1.3659032285234416
2000-01-10,0.1937039,0.19399773020544372,0.35978136695497065,0.4520268203900388,-0.002165728093567798,1.3659032285234416
2000-01-11,0.19943822,0.10697390094171041,0.28690259949935115,0.22824145739588447,-0.15497243379391593,1.3659032285234416
2000-01-12,0.20012182,0.24476119417182696,0.4440935728332898,0.44084934658798686,0.27431294411008494,1.3659032285234416
2000-01-13,0.20104454,0.35145839432159204,0.5767682081791048,0.4655174577341489,0.0343914588913698,1.3659032285234416
2000-01-14,0.20259015,0.1813550568105887,0.4355567126698721,0.22186748557297864,-0.32064620873875443,1.3659032285234416
2000-01-18,0.2045534,0.3020347615004859,0.511145312096056,0.47174747006018247,0.2620510302976029,1.3659032285234416
2000-01-19,0.20456166,0.3848661564863016,0.6156075293916488,0.46828776606781247,0.12682627779628525,1.3659032285234416
2000-01-20,0.20630531,0.19976099420030544,0.4821672145850164,0.18490219598221552,-0.36784888227872886,1.3659032285234416
2000-01-21,0.20350233,0.2875592541415995,0.4960828273291489,0.4613731268956822,0.22164542113494837,0.3119929147450968
2000-01-24,0.22566421,0.24401796435740716,0.44639834108181586,0.43278962936949583,0.12172927430664657,0.3933694038970604
2000-01-25,0.2193019,0.14205764137086113,0.3266893969880217,0.3087591846544361,0.1467398414714259,0.268957137135501
2000-01-26,0.21946679,0.12192532414444876,0.29485826554530664,0.2870192293167667,0.2066651657722641,0.2665217047337166
2000-01-27,0.21944519,0.12154014740305785,0.2935882581101518,0.288090059754997,0.2504377393262767,0.300905382063698
2000-01-28,0.23566226,0.16202182020292108,0.29972293331857525,0.4620609129582547,0.1421869759010195,0.3094108991379432
2000-01-31,0.25518842,0.18806221223882902,0.3304947255572557,0.4977297485924693,0.21809859924008113,0.2502416362055974
2000-02-01,0.25844404,0.14420457057080763,0.28080925582596405,0.4272859795491565,0.2159541145674081,0.21915580266400023
2000-02-02,0.25700912,0.09851205577828372,0.21375718613793598,0.35495798541663504,0.13059648239846666,0.2638050954820383
2000-02-03,0.220892,0.06516344959898357,0.16359696255314193,0.26675775915363187,0.03354922165578994,0.45569827228778237
2000-02-04,0.22089951,0.139837159898402,0.24476325190330533,0.49234864370730336,0.048290246191138045,0.40130528650609176
2000-02-07,0.22091701,0.16341323397672172,0.27161233146585656,0.5346201634751583,0.05167022754778626,0.38756124144802373
2000-02-08,0.20446611,0.0926774798921761,0.1861091791721748,0.3871768976171688,0.02871550549196225,0.52177954263246
2000-02-09,0.21262025,0.13319868960047987,0.24397338956579318,0.4627792146952668,0.18674965475966876,0.33012214881937824
2000-02-10,0.20897166,0.04515821061309916,0.12314144403279895,0.21044988744952253,0.10256708964521374,0.2834597601477347
2000-02-11,0.22047321,0.16636361616441186,0.2655918882349664,0.5615428286562495,0.13048587349634874,0.3259158120706909
2000-02-14,0.21533528,0.12200479340666957,0.20785016342339385,0.49338038242349713,0.07441389151013256,0.33947376760231845
2000-02-15,0.21400373,0.08062311543159183,0.1576812194490273,0.38220295347820893,0.1021132078718131,0.3547162878652398
2000-02-16,0.21530205,0.0542965975145302,0.11475605733104027,0.3033576368694244,0.0886377290382098,0.327527753580788
2000-02-17,0.2152865,0.07383953133063724,0.13306700604106042,0.3973215907439112,0.01881801057798064,0.29931843096790095
2000-02-18,0.23665716,0.13150239039768863,0.24646324520406,0.44872249016332694,0.1818703683119069,0.3186307390231482
2000-02-22,0.23823812,0.22798592233795684,0.3429103735064375,0.62056005635865,0.06740338921025113,0.15466052558890633
2000-02-23,0.221999,0.26113959878830495,0.4147314286899244,0.5667316540338152,-0.04298919334548884,0.29737044298960996
2000-02-24,0.2206834,0.19886400041490526,0.3855869393316498,0.4100309313785648,-0.2163131928989912,0.3110173630034596
2000-02-25,0.22515134,0.154435876592909,0.32183307978073483,0.3764378712200275,-0.20229409572841028,0.21939322861202143
2000-02-28,0.22978413,0.14317486342012606,0.2919616663396343,0.3961376899062461,-0.061318476566913596,0.19055100947234385
2000-02-29,0.2148065,0.1261411221698479,0.2651616686836282,0.3782964721621765,0.08378665870525374,0.18997056859437067
2000-03-01,0.19838558,0.16945720573590276,0.3213227441360235,0.4427809828474798,0.1243979509606891,0.18772544622425094
2000-03-02,0.19450375,0.15481149197906371,0.327954317500685,0.36361564467449026,0.12772184785084462,0.22006351310327507
2000-03-03,0.20718712,0.1776791300561008,0.34416965891902557,0.42308730492353597,0.10265435987074607,0.22315356200053676
